ResponseId,PROLIFIC_PID,slot,headline,GOID,cue_no,dimension,instruction,credibility_rating,added_to_cart,FL_19_DO,age,gender,political_party,fiscal_beliefs,social_beliefs,dem_or_rep,lean_dem_or_rep,race,employment,parents_education_1,parents_education_2,parents_education_3,attention_check_cashier,household_income,num_people_in_household,family_social_class,attention_check_two,prolific_id_demo,Selected,Instruction,MorphCredibility,MorphEngagement,cue_type,headline_version_id,base_headline_id,instruction_label
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,1,Pension Fund Failed Coffee-Farm Bet Highlights Risks of Private Markets,3299613655_N,N,neutral,CredManipulation,4,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,0,0,N,3299613655_N,3299613655_N,credibility
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,2,Broker Brothers Face the Spotlight as Sex-Trafficking Trial Gets Underway,3297616425_E1,E1,engagement,CredManipulation,5,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,0,1,E1,3297616425_E1,3297616425,credibility
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,3,Gourmet Magazine Is Back. It’s Not Exactly Sanctioned.,3293916587_N,N,neutral,CredManipulation,4,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,0,0,N,3293916587_N,3293916587_N,credibility
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,4,Funding To End Shutdown Runs Into Pushback --- House Democrats call for immigration changes before they would support deal,3299380627_N,N,neutral,CredManipulation,3,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,0,0,N,3299380627_N,3299380627_N,credibility
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,5,"Trump Pushes To Retain Coal On Power Grid, in a Surprise Development",3293875754_E1,E1,engagement,CredManipulation,3,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,0,1,E1,3293875754_E1,3293875754,credibility
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,6,Klobuchar Enters Race For Minnesota Governor,3298343620_N,N,neutral,CredManipulation,4,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,0,0,N,3298343620_N,3298343620_N,credibility
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,7,Formal Process Examines Video Analysis Sheds Light on Fatal ICE Shooting,3293875729_C3,C3,credibility,CredManipulation,5,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,1,0,C3,3293875729_C3,3293875729,credibility
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,8,Replaying the Highlights of a Memorable Night,3299610152_N,N,neutral,CredManipulation,3,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,0,0,N,3299610152_N,3299610152_N,credibility
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,9,"Three Chances to Indulge In Your Doughnut Dream, According to Officials",3300226418_C2,C2,credibility,CredManipulation,2,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,1,0,C2,3300226418_C2,3300226418,credibility
R_6jSV0ZIbdT6NiW2,6993ea2d38a5628100b24310,10,"Review Underway Regarding House Passes Bill to Reopen Government, Sending It to Trump",3300194738_C3,C3,credibility,CredManipulation,3,0,CredManipulation,30,2,3,1,1,3,1,3,3,4,4,4,2,6,3,1,2,6993ea2d38a5628100b24310,0,0,1,0,C3,3300194738_C3,3300194738,credibility
